year,GEOID,NAME,variable,estimate
2009,5000363175,"Searsburg town, Bennington County, Vermont",Mortgaged SMOC,932
2009,5000363175,"Searsburg town, Bennington County, Vermont",Non-Mortgaged SMOC,339
2009,5000363550,"Shaftsbury town, Bennington County, Vermont",Mortgaged SMOC,1337
2009,5000363550,"Shaftsbury town, Bennington County, Vermont",Non-Mortgaged SMOC,498
2009,5000369775,"Stamford town, Bennington County, Vermont",Mortgaged SMOC,1293
2009,5000369775,"Stamford town, Bennington County, Vermont",Non-Mortgaged SMOC,530
2009,5000371425,"Sunderland town, Bennington County, Vermont",Mortgaged SMOC,1492
2009,5000371425,"Sunderland town, Bennington County, Vermont",Non-Mortgaged SMOC,584
2009,5000385075,"Winhall town, Bennington County, Vermont",Mortgaged SMOC,1206
2009,5000385075,"Winhall town, Bennington County, Vermont",Non-Mortgaged SMOC,657
2009,5000385675,"Woodford town, Bennington County, Vermont",Mortgaged SMOC,1125
2009,5000385675,"Woodford town, Bennington County, Vermont",Non-Mortgaged SMOC,388
2009,5000502875,"Barnet town, Caledonia County, Vermont",Mortgaged SMOC,1168
2009,5000502875,"Barnet town, Caledonia County, Vermont",Non-Mortgaged SMOC,522
2009,5000510450,"Burke town, Caledonia County, Vermont",Mortgaged SMOC,1167
2009,5000510450,"Burke town, Caledonia County, Vermont",Non-Mortgaged SMOC,488
2009,5000517125,"Danville town, Caledonia County, Vermont",Mortgaged SMOC,1204
2009,5000517125,"Danville town, Caledonia County, Vermont",Non-Mortgaged SMOC,568
2009,5000530550,"Groton town, Caledonia County, Vermont",Mortgaged SMOC,1078
2009,5000530550,"Groton town, Caledonia County, Vermont",Non-Mortgaged SMOC,533
2009,5000531825,"Hardwick town, Caledonia County, Vermont",Mortgaged SMOC,935
2009,5000531825,"Hardwick town, Caledonia County, Vermont",Non-Mortgaged SMOC,539
2009,5000537900,"Kirby town, Caledonia County, Vermont",Mortgaged SMOC,1319
2009,5000537900,"Kirby town, Caledonia County, Vermont",Non-Mortgaged SMOC,442
2009,5000541725,"Lyndon town, Caledonia County, Vermont",Mortgaged SMOC,1014
2009,5000541725,"Lyndon town, Caledonia County, Vermont",Non-Mortgaged SMOC,443
2009,5000547725,"Newark town, Caledonia County, Vermont",Mortgaged SMOC,1112
2009,5000547725,"Newark town, Caledonia County, Vermont",Non-Mortgaged SMOC,340
2009,5000554400,"Peacham town, Caledonia County, Vermont",Mortgaged SMOC,1229
2009,5000554400,"Peacham town, Caledonia County, Vermont",Non-Mortgaged SMOC,805
2009,5000561525,"Ryegate town, Caledonia County, Vermont",Mortgaged SMOC,1024
2009,5000561525,"Ryegate town, Caledonia County, Vermont",Non-Mortgaged SMOC,468
2009,5000562200,"St. Johnsbury town, Caledonia County, Vermont",Mortgaged SMOC,1333
2009,5000562200,"St. Johnsbury town, Caledonia County, Vermont",Non-Mortgaged SMOC,466
2009,5000564075,"Sheffield town, Caledonia County, Vermont",Mortgaged SMOC,1045
2009,5000564075,"Sheffield town, Caledonia County, Vermont",Non-Mortgaged SMOC,295
2009,5000569925,"Stannard town, Caledonia County, Vermont",Mortgaged SMOC,811
2009,5000569925,"Stannard town, Caledonia County, Vermont",Non-Mortgaged SMOC,340
2009,5000571575,"Sutton town, Caledonia County, Vermont",Mortgaged SMOC,1088
2009,5000571575,"Sutton town, Caledonia County, Vermont",Non-Mortgaged SMOC,368
2009,5000575700,"Walden town, Caledonia County, Vermont",Mortgaged SMOC,1108
2009,5000575700,"Walden town, Caledonia County, Vermont",Non-Mortgaged SMOC,409
2009,5000577125,"Waterford town, Caledonia County, Vermont",Mortgaged SMOC,1408
2009,5000577125,"Waterford town, Caledonia County, Vermont",Non-Mortgaged SMOC,511
2009,5000583500,"Wheelock town, Caledonia County, Vermont",Mortgaged SMOC,950
2009,5000583500,"Wheelock town, Caledonia County, Vermont",Non-Mortgaged SMOC,419
2009,5000706550,"Bolton town, Chittenden County, Vermont",Mortgaged SMOC,1570
2009,5000706550,"Bolton town, Chittenden County, Vermont",Non-Mortgaged SMOC,463
2009,5000710300,"Buels gore, Chittenden County, Vermont",Mortgaged SMOC,NA
2009,5000710300,"Buels gore, Chittenden County, Vermont",Non-Mortgaged SMOC,NA
2009,5000710675,"Burlington city, Chittenden County, Vermont",Mortgaged SMOC,1692
