year,GEOID,NAME,Unemployment_Rate
2011,5002528900,"Grafton town, Windham County, Vermont",2.9
2011,5002530925,"Guilford town, Windham County, Vermont",7.8
2011,5002531150,"Halifax town, Windham County, Vermont",9.8
2011,5002536175,"Jamaica town, Windham County, Vermont",6.2
2011,5002540225,"Londonderry town, Windham County, Vermont",2.6
2011,5002543375,"Marlboro town, Windham County, Vermont",9.2
2011,5002548400,"Newfane town, Windham County, Vermont",6.7
2011,5002557700,"Putney town, Windham County, Vermont",7.5
2011,5002560250,"Rockingham town, Windham County, Vermont",10.8
2011,5002565762,"Somerset town, Windham County, Vermont",NA
2011,5002570750,"Stratton town, Windham County, Vermont",0
2011,5002573300,"Townshend town, Windham County, Vermont",5.7
2011,5002574800,"Vernon town, Windham County, Vermont",3.9
2011,5002576225,"Wardsboro town, Windham County, Vermont",9.1
2011,5002581400,"Westminster town, Windham County, Vermont",7.7
2011,5002583950,"Whitingham town, Windham County, Vermont",7.1
2011,5002584700,"Wilmington town, Windham County, Vermont",6.8
2011,5002584850,"Windham town, Windham County, Vermont",4.8
2011,5002701300,"Andover town, Windsor County, Vermont",13.8
2011,5002702575,"Baltimore town, Windsor County, Vermont",5.5
2011,5002702725,"Barnard town, Windsor County, Vermont",9
2011,5002705800,"Bethel town, Windsor County, Vermont",5
2011,5002708275,"Bridgewater town, Windsor County, Vermont",2.5
2011,5002712250,"Cavendish town, Windsor County, Vermont",7.5
2011,5002713675,"Chester town, Windsor County, Vermont",5.1
2011,5002732275,"Hartford town, Windsor County, Vermont",7.7
2011,5002732425,"Hartland town, Windsor County, Vermont",4.9
2011,5002741275,"Ludlow town, Windsor County, Vermont",6.2
2011,5002752900,"Norwich town, Windsor County, Vermont",0.7
2011,5002756050,"Plymouth town, Windsor County, Vermont",7.4
2011,5002756350,"Pomfret town, Windsor County, Vermont",1.8
2011,5002758375,"Reading town, Windsor County, Vermont",6.3
2011,5002760100,"Rochester town, Windsor County, Vermont",4.9
2011,5002760850,"Royalton town, Windsor County, Vermont",5.6
2011,5002763775,"Sharon town, Windsor County, Vermont",5.3
2011,5002769550,"Springfield town, Windsor County, Vermont",6.6
2011,5002770375,"Stockbridge town, Windsor County, Vermont",0.7
2011,5002777500,"Weathersfield town, Windsor County, Vermont",6.2
2011,5002782000,"Weston town, Windsor County, Vermont",12.2
2011,5002783050,"West Windsor town, Windsor County, Vermont",6.3
2011,5002784925,"Windsor town, Windsor County, Vermont",16.6
2011,5002785975,"Woodstock town, Windsor County, Vermont",2.6
2012,5000100325,"Addison town, Addison County, Vermont",4.6
2012,5000108575,"Bridport town, Addison County, Vermont",4
2012,5000109025,"Bristol town, Addison County, Vermont",7.6
2012,5000116000,"Cornwall town, Addison County, Vermont",5.4
2012,5000126300,"Ferrisburgh town, Addison County, Vermont",8.4
2012,5000128600,"Goshen town, Addison County, Vermont",5.2
2012,5000129575,"Granville town, Addison County, Vermont",6.6
2012,5000131525,"Hancock town, Addison County, Vermont",16.5
2012,5000139325,"Leicester town, Addison County, Vermont",6.4
2012,5000140075,"Lincoln town, Addison County, Vermont",7.6
2012,5000144350,"Middlebury town, Addison County, Vermont",6.7
2012,5000145550,"Monkton town, Addison County, Vermont",3.4
2012,5000148700,"New Haven town, Addison County, Vermont",4.9
2012,5000153725,"Orwell town, Addison County, Vermont",9.9
2012,5000153950,"Panton town, Addison County, Vermont",5
2012,5000159650,"Ripton town, Addison County, Vermont",6.7
2012,5000162575,"Salisbury town, Addison County, Vermont",8.3
2012,5000165050,"Shoreham town, Addison County, Vermont",9.7
2012,5000170075,"Starksboro town, Addison County, Vermont",7.8
2012,5000174650,"Vergennes city, Addison County, Vermont",9.7
2012,5000176075,"Waltham town, Addison County, Vermont",1.7
2012,5000183275,"Weybridge town, Addison County, Vermont",3.9
2012,5000183800,"Whiting town, Addison County, Vermont",9.1
2012,5000301450,"Arlington town, Bennington County, Vermont",5.4
2012,5000304825,"Bennington town, Bennington County, Vermont",8.5
2012,5000317725,"Dorset town, Bennington County, Vermont",5.2
2012,5000327962,"Glastenbury town, Bennington County, Vermont",0
2012,5000339025,"Landgrove town, Bennington County, Vermont",6
2012,5000342850,"Manchester town, Bennington County, Vermont",5.2
2012,5000355000,"Peru town, Bennington County, Vermont",5
2012,5000357025,"Pownal town, Bennington County, Vermont",4.2
2012,5000358600,"Readsboro town, Bennington County, Vermont",2.3
2012,5000361000,"Rupert town, Bennington County, Vermont",7.9
2012,5000362875,"Sandgate town, Bennington County, Vermont",6
2012,5000363175,"Searsburg town, Bennington County, Vermont",2.5
2012,5000363550,"Shaftsbury town, Bennington County, Vermont",9.2
2012,5000369775,"Stamford town, Bennington County, Vermont",7.8
2012,5000371425,"Sunderland town, Bennington County, Vermont",4.6
2012,5000385075,"Winhall town, Bennington County, Vermont",4.7
2012,5000385675,"Woodford town, Bennington County, Vermont",18.1
2012,5000502875,"Barnet town, Caledonia County, Vermont",4.9
2012,5000510450,"Burke town, Caledonia County, Vermont",7.6
2012,5000517125,"Danville town, Caledonia County, Vermont",5.1
2012,5000530550,"Groton town, Caledonia County, Vermont",4.3
2012,5000531825,"Hardwick town, Caledonia County, Vermont",3.9
2012,5000537900,"Kirby town, Caledonia County, Vermont",5.4
2012,5000541725,"Lyndon town, Caledonia County, Vermont",10.6
2012,5000547725,"Newark town, Caledonia County, Vermont",12.2
2012,5000554400,"Peacham town, Caledonia County, Vermont",1.7
2012,5000561525,"Ryegate town, Caledonia County, Vermont",2.9
2012,5000562200,"St. Johnsbury town, Caledonia County, Vermont",10
2012,5000564075,"Sheffield town, Caledonia County, Vermont",14.3
2012,5000569925,"Stannard town, Caledonia County, Vermont",10.2
2012,5000571575,"Sutton town, Caledonia County, Vermont",11.5
2012,5000575700,"Walden town, Caledonia County, Vermont",6.7
2012,5000577125,"Waterford town, Caledonia County, Vermont",5.3
2012,5000583500,"Wheelock town, Caledonia County, Vermont",3.9
2012,5000706550,"Bolton town, Chittenden County, Vermont",9
2012,5000710300,"Buels gore, Chittenden County, Vermont",17.2
2012,5000710675,"Burlington city, Chittenden County, Vermont",8.3
2012,5000713300,"Charlotte town, Chittenden County, Vermont",5.1
2012,5000714875,"Colchester town, Chittenden County, Vermont",4.4
2012,5000724175,"Essex town, Chittenden County, Vermont",4.3
2012,5000733475,"Hinesburg town, Chittenden County, Vermont",4.2
2012,5000734600,"Huntington town, Chittenden County, Vermont",3.8
2012,5000736700,"Jericho town, Chittenden County, Vermont",2.9
2012,5000745250,"Milton town, Chittenden County, Vermont",5.6
2012,5000759275,"Richmond town, Chittenden County, Vermont",4.6
2012,5000762050,"St. George town, Chittenden County, Vermont",5.1
2012,5000764300,"Shelburne town, Chittenden County, Vermont",3.6
2012,5000766175,"South Burlington city, Chittenden County, Vermont",5.3
2012,5000773975,"Underhill town, Chittenden County, Vermont",2.7
2012,5000780350,"Westford town, Chittenden County, Vermont",5.9
2012,5000784475,"Williston town, Chittenden County, Vermont",4.4
2012,5000785150,"Winooski city, Chittenden County, Vermont",7.3
2012,5000902125,"Averill town, Essex County, Vermont",NA
2012,5000902162,"Avery's gore, Essex County, Vermont",NA
2012,5000906325,"Bloomfield town, Essex County, Vermont",5.1
2012,5000908725,"Brighton town, Essex County, Vermont",12.7
2012,5000910075,"Brunswick town, Essex County, Vermont",16.7
2012,5000911800,"Canaan town, Essex County, Vermont",12.9
2012,5000915250,"Concord town, Essex County, Vermont",9.8
2012,5000921250,"East Haven town, Essex County, Vermont",12.4
2012,5000925975,"Ferdinand town, Essex County, Vermont",11.8
2012,5000929125,"Granby town, Essex County, Vermont",0
2012,5000930775,"Guildhall town, Essex County, Vermont",8.8
2012,5000939700,"Lemington town, Essex County, Vermont",4.8
2012,5000939775,"Lewis town, Essex County, Vermont",NA
2012,5000941425,"Lunenburg town, Essex County, Vermont",8.7
2012,5000942475,"Maidstone town, Essex County, Vermont",15.5
2012,5000952750,"Norton town, Essex County, Vermont",9.4
2012,5000975175,"Victory town, Essex County, Vermont",17.1
2012,5000976337,"Warner's grant, Essex County, Vermont",NA
2012,5000976562,"Warren's gore, Essex County, Vermont",0
2012,5001102500,"Bakersfield town, Franklin County, Vermont",9.7
2012,5001105425,"Berkshire town, Franklin County, Vermont",5
2012,5001123875,"Enosburg town, Franklin County, Vermont",7.8
2012,5001124925,"Fairfax town, Franklin County, Vermont",2.5
2012,5001125225,"Fairfield town, Franklin County, Vermont",6.9
2012,5001126500,"Fletcher town, Franklin County, Vermont",7.4
2012,5001127100,"Franklin town, Franklin County, Vermont",3.6
2012,5001127700,"Georgia town, Franklin County, Vermont",4.8
2012,5001133025,"Highgate town, Franklin County, Vermont",8.9
2012,5001145850,"Montgomery town, Franklin County, Vermont",7.3
2012,5001159125,"Richford town, Franklin County, Vermont",9.9
2012,5001161675,"St. Albans city, Franklin County, Vermont",7.1
2012,5001161750,"St. Albans town, Franklin County, Vermont",6.7
2012,5001164600,"Sheldon town, Franklin County, Vermont",6.1
2012,5001171725,"Swanton town, Franklin County, Vermont",7.6
2012,5001300860,"Alburgh town, Grand Isle County, Vermont",13.6
2012,5001329275,"Grand Isle town, Grand Isle County, Vermont",3.8
2012,5001335875,"Isle La Motte town, Grand Isle County, Vermont",16.3
2012,5001350650,"North Hero town, Grand Isle County, Vermont",5.7
2012,5001367000,"South Hero town, Grand Isle County, Vermont",5.5
2012,5001504375,"Belvidere town, Lamoille County, Vermont",10.7
2012,5001511500,"Cambridge town, Lamoille County, Vermont",3.9
2012,5001523500,"Eden town, Lamoille County, Vermont",4.3
2012,5001523725,"Elmore town, Lamoille County, Vermont",5.6
2012,5001535050,"Hyde Park town, Lamoille County, Vermont",7.1
2012,5001537075,"Johnson town, Lamoille County, Vermont",6.7
2012,5001546675,"Morristown town, Lamoille County, Vermont",4.6
2012,5001570525,"Stowe town, Lamoille County, Vermont",2.4
2012,5001577425,"Waterville town, Lamoille County, Vermont",3.6
2012,5001585375,"Wolcott town, Lamoille County, Vermont",5.3
2012,5001707375,"Bradford town, Orange County, Vermont",8.5
2012,5001707600,"Braintree town, Orange County, Vermont",4
2012,5001709325,"Brookfield town, Orange County, Vermont",3.4
2012,5001713525,"Chelsea town, Orange County, Vermont",3.8
2012,5001715700,"Corinth town, Orange County, Vermont",9.6
2012,5001725675,"Fairlee town, Orange County, Vermont",5.7
2012,5001748175,"Newbury town, Orange County, Vermont",7.7
2012,5001753425,"Orange town, Orange County, Vermont",8.8
2012,5001758075,"Randolph town, Orange County, Vermont",9.9
2012,5001770675,"Strafford town, Orange County, Vermont",3.2
2012,5001772400,"Thetford town, Orange County, Vermont",1.9
2012,5001773075,"Topsham town, Orange County, Vermont",7.2
2012,5001773675,"Tunbridge town, Orange County, Vermont",2.6
2012,5001774950,"Vershire town, Orange County, Vermont",10.9
2012,5001776750,"Washington town, Orange County, Vermont",7.3
2012,5001779975,"West Fairlee town, Orange County, Vermont",3
2012,5001784175,"Williamstown town, Orange County, Vermont",4.7
2012,5001900475,"Albany town, Orleans County, Vermont",9
2012,5001903550,"Barton town, Orleans County, Vermont",10.7
2012,5001909850,"Brownington town, Orleans County, Vermont",7.3
2012,5001913150,"Charleston town, Orleans County, Vermont",7.1
2012,5001916150,"Coventry town, Orleans County, Vermont",9
2012,5001916300,"Craftsbury town, Orleans County, Vermont",5.1
2012,5001917350,"Derby town, Orleans County, Vermont",7.2
2012,5001928075,"Glover town, Orleans County, Vermont",3.4
2012,5001930175,"Greensboro town, Orleans County, Vermont",5
2012,5001933775,"Holland town, Orleans County, Vermont",4
2012,5001935575,"Irasburg town, Orleans County, Vermont",8.9
2012,5001936325,"Jay town, Orleans County, Vermont",9.6
2012,5001940525,"Lowell town, Orleans County, Vermont",13.8
2012,5001946450,"Morgan town, Orleans County, Vermont",2.4
2012,5001948850,"Newport city, Orleans County, Vermont",9.6
2012,5001948925,"Newport town, Orleans County, Vermont",6.2
2012,5001973525,"Troy town, Orleans County, Vermont",6.2
2012,5001980200,"Westfield town, Orleans County, Vermont",4
2012,5001981700,"Westmore town, Orleans County, Vermont",4.8
2012,5002105200,"Benson town, Rutland County, Vermont",5.2
2012,5002107750,"Brandon town, Rutland County, Vermont",6.1
2012,5002111950,"Castleton town, Rutland County, Vermont",6.6
2012,5002114350,"Chittenden town, Rutland County, Vermont",8.2
2012,5002114500,"Clarendon town, Rutland County, Vermont",8.8
2012,5002116825,"Danby town, Rutland County, Vermont",3.9
2012,5002125375,"Fair Haven town, Rutland County, Vermont",10.7
2012,5002134450,"Hubbardton town, Rutland County, Vermont",3.1
2012,5002135425,"Ira town, Rutland County, Vermont",11.7
2012,5002137685,"Killington town, Rutland County, Vermont",6.9
2012,5002144125,"Mendon town, Rutland County, Vermont",5.4
2012,5002144800,"Middletown Springs town, Rutland County, Vermont",7.7
2012,5002147200,"Mount Holly town, Rutland County, Vermont",11.8
2012,5002147425,"Mount Tabor town, Rutland County, Vermont",12
2012,5002154250,"Pawlet town, Rutland County, Vermont",7.4
2012,5002155450,"Pittsfield town, Rutland County, Vermont",5.8
2012,5002155600,"Pittsford town, Rutland County, Vermont",4.2
2012,5002156875,"Poultney town, Rutland County, Vermont",9.6
2012,5002157250,"Proctor town, Rutland County, Vermont",7.8
2012,5002161225,"Rutland city, Rutland County, Vermont",9.6
2012,5002161300,"Rutland town, Rutland County, Vermont",12.1
2012,5002165275,"Shrewsbury town, Rutland County, Vermont",7.3
2012,5002171050,"Sudbury town, Rutland County, Vermont",3.8
2012,5002172925,"Tinmouth town, Rutland County, Vermont",2.8
2012,5002175925,"Wallingford town, Rutland County, Vermont",8.3
2012,5002177950,"Wells town, Rutland County, Vermont",3.9
2012,5002180875,"West Haven town, Rutland County, Vermont",9.2
2012,5002182300,"West Rutland town, Rutland County, Vermont",14.9
2012,5002303175,"Barre city, Washington County, Vermont",8.8
2012,5002303250,"Barre town, Washington County, Vermont",3.7
2012,5002305650,"Berlin town, Washington County, Vermont",8.8
2012,5002311125,"Cabot town, Washington County, Vermont",4.2
2012,5002311350,"Calais town, Washington County, Vermont",6.8
2012,5002318550,"Duxbury town, Washington County, Vermont",3.4
2012,5002321925,"East Montpelier town, Washington County, Vermont",5.8
2012,5002325825,"Fayston town, Washington County, Vermont",2.1
2012,5002343600,"Marshfield town, Washington County, Vermont",6.6
2012,5002344500,"Middlesex town, Washington County, Vermont",4.7
2012,5002346000,"Montpelier city, Washington County, Vermont",6.9
2012,5002346225,"Moretown town, Washington County, Vermont",3.6
2012,5002350275,"Northfield town, Washington County, Vermont",6.8
2012,5002355825,"Plainfield town, Washington County, Vermont",7.6
2012,5002360625,"Roxbury town, Washington County, Vermont",8.4
2012,5002375325,"Waitsfield town, Washington County, Vermont",5.4
2012,5002376525,"Warren town, Washington County, Vermont",2.4
2012,5002376975,"Waterbury town, Washington County, Vermont",4.6
2012,5002385525,"Woodbury town, Washington County, Vermont",3.5
2012,5002386125,"Worcester town, Washington County, Vermont",4.5
2012,5002501900,"Athens town, Windham County, Vermont",13.6
